open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA3,MA5,MA21,MA35,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,Volume_MA20,Volume_Ratio,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.000,Fib_Ret_0.236,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.786,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,计算时间,MA_Fast_Signal,MA_Signal,MACD_Signal_Analysis,MACD_Zero_Cross,RSI_Signal,BB_Width,BB_Squeeze,BB_Breakout_Strength,BB_Signal,Stoch_Signal,Fib_Key_Zone,综合信号
2025-07-20 12:15:00,117883.4,118025.8,117788.2,117810.1,1165.307,137395921.3194,20193.0,488.62,57615293.9929,,,,,,,,,,,,,,,,,,,,,,,1165.307,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-20 12:30:00,117810.0,117892.3,117769.3,117840.8,927.034,109231945.1356,18034.0,571.909,67388528.8313,,,,,,,,,,,,,,,,,,,,,,,2092.341,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-20 12:45:00,117840.8,118157.8,117800.0,118055.4,972.733,114774281.8902,19532.0,589.344,69536184.1362,117902.10000000002,,,,,,,,,,,,,,,,,,,,,,3065.0739999999996,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-20 13:00:00,118055.5,118180.8,118055.4,118098.4,785.187,92742710.7474,17237.0,432.806,51119409.2371,117998.20000000001,,,,,,,,,,,,,,,,,,,,,,3850.2609999999995,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,中性,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-20 13:15:00,118098.4,118140.0,118053.2,118093.2,502.702,59361255.6278,11530.0,179.66,21215530.5831,118082.33333333336,117979.58,,,117979.58,,,,,,,,,,,,,,,,,,3347.5589999999993,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,快速金叉,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-20 13:30:00,118093.2,118133.0,118055.1,118098.9,461.484,54495448.0344,36852.0,228.526,26985097.5609,118096.83333333336,118037.34000000001,,,118037.34000000001,,,,,,,,,,,,,,,,,,3809.042999999999,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,快速金叉,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-20 13:45:00,118098.8,118383.0,118085.6,118378.7,972.139,114958813.6241,21451.0,669.485,79173172.9842,118190.26666666668,118144.92000000001,,,118144.92000000001,,,,,,,,,,,,,,,,,,4781.181999999999,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,快速金叉,中性,中性,,中性,,False,,中轨附近,中性,,中性
2025-07-20 14:00:00,118378.7,118750.0,118251.2,118530.4,4148.907,491723702.4565,71529.0,2588.311,306785867.2977,118336.0,118239.92000000001,,,118239.92000000001,,,,,99.28835363350251,,,,,,,,,,,,,8930.089,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,快速金叉,中性,中性,,极度超买,,False,,中轨附近,中性,,中性
2025-07-20 14:15:00,118530.4,118794.0,118430.7,118627.4,1625.784,192874255.2859,33320.0,952.363,112982755.5539,118512.16666666667,118345.72000000002,,,118345.72000000002,,,,,99.38378890820067,,,,,,,,,,,,,10555.873,241.3000000000011,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,快速金叉,中性,中性,,极度超买,,False,,中轨附近,中性,,中性
2025-07-20 14:30:00,118627.3,118780.6,118502.9,118563.9,789.655,93659101.3931,19940.0,400.915,47552456.1358,118573.89999999998,118439.86000000002,,,118439.86000000002,,,,,90.15039996178056,,,,,,,,,,,,,9766.217999999999,245.8500000000024,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-22 22:10:12,快速金叉,中性,中性,,极度超买,,False,,中轨附近,中性,,中性
