open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA21,MA55,MA150,MA200,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,MACD_Long_Signal,MACD_Long_Hist,RSI,RSI_Long,RSI_Extra_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.000,Fib_Ret_0.236,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.786,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Width,BB_Squeeze,BB_Signal,Stoch_Signal,综合信号
2024-12-13,99982.3,101869.5,99149.6,101371.9,152437.318,15327839534.2343,3042727.0,76027.654,7643586373.4493,,,,,,,,,,,,,,,,,,,,,,,,,152437.318,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-14,101371.9,102638.0,100559.8,101381.0,107680.549,10931716374.3351,2229858.0,53113.631,5393209129.0734,,,,,,,,,,,,,,,,,,,,,,,,,260117.867,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-15,101381.0,105374.6,101200.1,104460.4,157733.916,16239310087.6506,3101360.0,84467.83,8698622472.8903,,,,,,,,,,,,,,,,,,,,,,,,,417851.783,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-16,104460.5,107777.0,103264.6,106023.2,274395.756,28967203114.5623,5278040.0,138944.346,14670105148.1117,,,,,,,,,,,,,,,,,,,,,,,,,692247.539,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-17,106023.2,108366.8,105252.0,106074.6,197773.912,21115019475.6999,4179052.0,99997.28,10677741430.496,,,,,,,,,,,,,,,,,,,,,,,,,890021.451,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-18,106074.6,106484.6,99951.1,100181.1,328581.935,33924249957.0183,6216898.0,155604.905,16069941921.9131,,,,,,,,,,,,,,,,,,,,,,,,,561439.5160000001,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-19,100181.2,102756.7,95681.2,97434.4,372968.463,37081222303.6621,7425449.0,179453.917,17848001701.1341,,,,,,,,,,,,,,,,,,,,,,,,,188471.05300000007,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-20,97434.3,98243.0,92272.6,97764.4,396188.795,37958727658.2742,7747092.0,192090.031,18404614563.6525,,,,,,,,,,,,,,,,,,,,,,,,,584659.848,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-21,97764.5,99485.0,96375.0,97261.8,161258.48,15758501543.9687,3335893.0,80347.265,7853653926.3129,,,,,,,,,,,,,,,,,,,,,,,,,423401.368,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-22,97261.7,97437.9,94200.0,95153.5,148114.735,14215963268.6506,3134938.0,70507.415,6767628913.8017,,,,,,,,,,,,,,,,,,,,,,,,,275286.63300000003,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-23,95153.4,96499.0,92464.4,94861.1,247211.855,23352438472.944,5207668.0,121829.032,11510199532.1842,,,,,,,,,,,,,,,,,,,,,,,,,28074.77800000002,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-24,94861.0,99450.0,93525.6,98627.2,211610.632,20467193731.4279,3920298.0,109376.056,10580880454.9762,,,,,,,,,,,,,,,,,,,,,,,,,239685.41000000003,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-25,98626.9,99580.7,97570.0,99379.7,124696.892,12284101310.0662,2722825.0,62253.484,6133707303.6393,,,,,,,,,,,,,,,,,,,,,,,,,364382.302,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-26,99379.6,99950.0,95153.0,95751.0,194857.651,18828963496.91,3878316.0,95170.879,9195863626.7316,,,,,,,,,,,,,,,,,,,,,,,,,169524.651,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-27,95750.9,97564.5,93440.0,94258.9,206008.243,19664748484.4432,4086656.0,102046.139,9741715105.6671,,,,,,,,,,,,,,36.43365019301485,,,,,,,,,,,-36483.591999999975,4335.5999999999985,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,,False,中轨附近,中性,中性
2024-12-28,94258.9,95700.0,94100.0,95259.1,67991.349,6441586533.2291,1613529.0,35331.939,3347872125.4663,,,,,,,,,,,,,,38.94236731325551,,,,,,,,,,,31507.757000000027,4140.199999999999,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,,False,中轨附近,中性,中性
2024-12-29,95259.1,95300.0,92961.8,93700.0,95047.934,8949366966.5803,1990464.0,44931.737,4231864476.5938,,,,,,,,,,,,,,36.522682009096144,,,,,,,,,,,-63540.17699999997,4011.485714285713,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,,False,中轨附近,中性,中性
2024-12-30,93699.9,95031.6,91510.0,92759.3,222343.593,20718759693.374,4401173.0,111061.003,10352744732.7416,,,,,,,,,,,,,,35.10534966812657,,,,,,,,,11.612220114392423,14.123847092569996,-285883.76999999996,3976.49387755102,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,,False,中轨附近,超卖交叉,中性
2024-12-31,92759.3,96254.3,92000.0,93548.9,178648.116,16839152825.5285,3535447.0,91654.172,8640104348.4182,,,,,,,,,,,,,,37.304652472903854,,,,,,,,,9.965336206927407,11.61108778207025,-107235.65399999995,3996.337172011662,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,,False,中轨附近,超卖交叉,中性
2025-01-01,93548.8,95161.2,92796.5,94580.9,91236.66,8572615379.7751,1804360.0,45712.481,4296719477.4609,,,,,,,,,,,,,,40.15915912826382,,,,,,,,,16.110624460542194,12.562726927287343,-15998.993999999948,3879.791659725114,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,,False,中轨附近,超卖交叉,中性
2025-01-02,94580.9,97822.4,94357.4,96967.5,181645.495,17520373569.6746,3485887.0,91670.018,8844274083.0583,97942.85238095238,,,,97942.85238095238,,,,,,,,,46.25354807664223,,,105811.5317722067,97942.85238095238,90074.17298969805,,,,35.19431440808508,20.423425025184894,165646.50100000005,3850.163684030463,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,0.16067899188087356,False,弱势下轨区域,看涨交叉,中性
2025-01-03,96967.6,98949.0,96061.5,98145.7,125220.674,12191508268.3213,2447503.0,62635.65,6100956961.6788,97789.22380952381,,,,97789.22380952381,,,,,,,,,49.014164613494984,45.404535354110884,,105508.67048026963,97789.22380952381,90069.777138778,,,,56.86308617176817,36.05600834679848,290867.17500000005,3781.4019923140013,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,0.15787929119433328,False,中轨附近,看涨交叉,中性
2025-01-04,98145.7,98760.9,97438.2,98173.2,71914.634,7047067115.1575,1425236.0,34608.531,3391666127.7631,97636.47142857143,,,,97636.47142857143,,,,,,,,,49.079906753170484,45.44940881774223,,105190.76167808304,97636.47142857143,90082.18117905981,,,,74.07740916271719,55.37826991419015,362781.80900000007,3605.7804214344296,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,0.15474320484918705,False,强势上轨区域,看涨交叉,中性
2025-01-05,98173.2,98852.6,97227.0,98340.2,74949.289,7346604757.8706,1416760.0,36787.547,3606330342.2336,97345.03333333333,,,,97345.03333333333,,,,,,,,,49.50570616665596,45.73381262929618,,104269.78403521224,97345.03333333333,90420.2826314544,,,,79.49881516587674,70.14643683345405,437731.09800000006,3464.3389627605425,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看跌区域,0.14227229607425104,False,强势上轨区域,看涨交叉,中性
2025-01-06,98340.2,102444.0,97872.6,102180.4,207493.329,20828553113.3948,3872847.0,106223.517,10662927605.4019,97162.04285714285,,,,97162.04285714285,,,,,,,,,58.16822541607682,51.80116432138211,,103320.51983014014,97162.04285714285,91003.56588414556,,,,85.82119299164218,79.79913910674537,645224.427,3543.4147511347887,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:21:32,中性,中性,看涨区域,0.126767136464022,False,强势上轨区域,看涨交叉,中性
