open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA150,MA200,MACD_Long,MACD_Long_Signal
2024-12-13,99982.3,101869.5,99149.6,101371.9,152437.31,15327839000.0,3042727.0,76027.66,7643586600.0,,,,,,,,,,,,,,,,,152437.31,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-14,101371.9,102638.0,100559.8,101381.0,107680.55,10931716000.0,2229858.0,53113.633,5393209300.0,,,,,,,,,,,,,,,,,260117.86,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-15,101381.0,105374.6,101200.1,104460.4,157733.92,16239310000.0,3101360.0,84467.83,8698623000.0,,,,,,,,,,,,,,,,,417851.78,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-16,104460.5,107777.0,103264.6,106023.2,274395.75,28967203000.0,5278040.0,138944.34,14670106000.0,,,,,,,,,,,,,,,,,692247.56,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-17,106023.2,108366.8,105252.0,106074.6,197773.9,21115020000.0,4179052.0,99997.28,10677742000.0,,,,,,,,,,,,,,,,,890021.44,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-18,106074.6,106484.6,99951.1,100181.1,328581.94,33924250000.0,6216898.0,155604.9,16069942000.0,,,,,,,,,,,,,,,,,561439.5,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-19,100181.2,102756.7,95681.2,97434.4,372968.47,37081223000.0,7425449.0,179453.92,17848003000.0,,,,,,,,,,,,,,,,,188471.05,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-20,97434.3,98243.0,92272.6,97764.4,396188.78,37958726000.0,7747092.0,192090.03,18404614000.0,,,,,,,,,,,,,,,,,584659.9,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-21,97764.5,99485.0,96375.0,97261.8,161258.48,15758502000.0,3335893.0,80347.266,7853654000.0,,,,,,,,,,,,,,,,,423401.38,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-22,97261.7,97437.9,94200.0,95153.5,148114.73,14215964000.0,3134938.0,70507.414,6767629000.0,,,,,,,,,,,,,,,,,275286.62,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-23,95153.4,96499.0,92464.4,94861.1,247211.86,23352439000.0,5207668.0,121829.03,11510199000.0,,,,,,,,,,,,,,,,,28074.777,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-24,94861.0,99450.0,93525.6,98627.2,211610.62,20467194000.0,3920298.0,109376.055,10580880000.0,,,,,,,,,,,,,,,,,239685.4,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-25,98626.9,99580.7,97570.0,99379.7,124696.89,12284102000.0,2722825.0,62253.484,6133707300.0,,,,,,,,,,,,,,,,,364382.3,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-26,99379.6,99950.0,95153.0,95751.0,194857.66,18828964000.0,3878316.0,95170.88,9195864000.0,,,,,,,,,,,,,,,,,169524.66,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-27,95750.9,97564.5,93440.0,94258.9,206008.25,19664749000.0,4086656.0,102046.14,9741715000.0,,,,,,,36.43365,,,,,,,,,,-36483.594,4335.6,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-28,94258.9,95700.0,94100.0,95259.1,67991.35,6441586700.0,1613529.0,35331.938,3347872000.0,,,,,,,38.942368,,,,,,,,,,31507.758,4140.2,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-29,95259.1,95300.0,92961.8,93700.0,95047.94,8949367000.0,1990464.0,44931.74,4231864600.0,,,,,,,36.522682,,,,,,,,,,-63540.176,4011.4856,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-30,93699.9,95031.6,91510.0,92759.3,222343.6,20718760000.0,4401173.0,111061.0,10352744000.0,,,,,,,35.10535,,,,,,,,11.61222,14.123847,-285883.78,3976.494,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-12-31,92759.3,96254.3,92000.0,93548.9,178648.11,16839153000.0,3535447.0,91654.17,8640104000.0,,,,,,,37.304653,,,,,,,,9.965336,11.611088,-107235.66,3996.3372,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-01,93548.8,95161.2,92796.5,94580.9,91236.66,8572615000.0,1804360.0,45712.48,4296719400.0,,,,,,,40.15916,,,,,,,,16.110624,12.562727,-15998.994,3879.7917,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-02,94580.9,97822.4,94357.4,96967.5,181645.5,17520374000.0,3485887.0,91670.016,8844274000.0,97942.85,,,,,,46.253548,,105811.53,97942.85,90074.17,,,,35.194313,20.423426,165646.5,3850.1636,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-03,96967.6,98949.0,96061.5,98145.7,125220.67,12191508000.0,2447503.0,62635.65,6100957000.0,97789.23,,,,,,49.014164,45.404537,105508.67,97789.23,90069.77,,,,56.863087,36.056007,290867.2,3781.402,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-04,98145.7,98760.9,97438.2,98173.2,71914.63,7047067000.0,1425236.0,34608.53,3391666200.0,97636.47,,,,,,49.079906,45.44941,105190.76,97636.47,90082.18,,,,74.07741,55.37827,362781.8,3605.7805,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-05,98173.2,98852.6,97227.0,98340.2,74949.29,7346604500.0,1416760.0,36787.547,3606330400.0,97345.03,,,,,,49.505707,45.733814,104269.78,97345.03,90420.28,,,,79.49882,70.14644,437731.1,3464.3389,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-06,98340.2,102444.0,97872.6,102180.4,207493.33,20828553000.0,3872847.0,106223.516,10662927000.0,97162.04,,,,,,58.168224,51.801163,103320.52,97162.04,91003.56,,,,85.82119,79.79914,645224.44,3543.4148,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-07,102180.5,102762.1,96153.0,96920.3,258711.31,25560000000.0,4469033.0,124202.164,12272380000.0,96726.125,,,,,,46.42087,44.62521,101421.62,96726.125,92030.63,,,,75.53276,80.284256,386513.12,3762.3923,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-08,96920.2,97242.2,92500.0,95014.1,262012.11,24890489000.0,5034341.0,125746.04,11946831000.0,96480.08,,,,,,43.02947,42.39074,100962.27,96480.08,91997.88,,,,58.93783,73.430595,124501.01,3832.3784,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-09,95014.0,95358.7,91055.8,92505.9,257760.9,23994410000.0,4976061.0,122609.98,11417562000.0,96245.38,,,,,,38.992752,39.647915,101010.33,96245.38,91480.445,,,,30.537224,55.002605,-133259.89,3865.9873,,,21.891533,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-10,92506.0,95882.5,92173.6,94675.5,261942.95,24636484000.0,4889944.0,131544.77,12376535000.0,96098.3,,,,,,43.895737,42.99777,100857.3,96098.3,91339.3,,,,24.816683,38.097244,128683.055,3854.7666,,,21.72375,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-11,94675.6,94988.0,93802.1,94562.5,64661.76,6101597700.0,1369972.0,31163.719,2940960300.0,95969.76,,,,,,43.69875,42.867645,100741.91,95969.76,91197.61,,,,24.421324,26.591743,64021.293,3664.1333,,,21.56795,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-12,94562.4,95444.0,93661.1,94499.9,77298.13,7302019600.0,1571748.0,38243.258,3613115400.0,95938.63,,,,,,43.58207,42.792316,100740.11,95938.63,91137.164,,,,30.099178,26.445728,-13276.839,3529.7595,,,21.235828,,,,,,,,,,neutral,,,neutral,,,,,,,
2025-01-13,94499.9,95934.5,88909.0,94485.3,361150.5,33357740000.0,6407451.0,174597.8,16132784000.0,95920.734,,,,,,43.55286,42.77391,100740.91,95920.734,91100.57,,,,33.209885,29.243462,-374427.34,3779.4553,,,22.100496,,,,,,,,,,neutral,,,neutral,,,,,,,
