open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA8,MA21,MA55,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.000,Fib_Ret_0.236,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.786,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Ext_1.618,Fib_Ext_2.000,Fib_Ext_2.618,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Width,BB_Squeeze,BB_Signal,Stoch_Signal,综合信号
2025-07-17 02:30:00,118379.9,118441.9,118194.2,118304.8,854.967,101166411.6265,19374.0,364.042,43075947.6047,,,,,,,,,,,,,,,,,,,,,854.967,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,中性,,False,中轨附近,中性,中性
2025-07-17 02:45:00,118304.8,118345.4,118015.6,118302.0,971.783,114832732.0248,23010.0,512.741,60596039.7389,,,,,,,,,,,,,,,,,,,,,-116.81600000000003,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,中性,,False,中轨附近,中性,中性
2025-07-17 03:00:00,118302.0,118335.2,117978.7,117978.7,714.072,84331617.9466,21471.0,281.803,33281258.4818,,,,,,,,,,,,,,,,,,,,,-830.888,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,中性,,False,中轨附近,中性,中性
2025-07-17 03:15:00,117978.7,118033.2,117816.0,117845.8,1496.219,176418772.3408,35388.0,638.452,75285732.3197,,,,,,,,,,,,,,,,,,,,,-2327.107,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,中性,,False,中轨附近,中性,中性
2025-07-17 03:30:00,117845.7,118014.0,117700.0,117868.8,1707.989,201262776.6833,33087.0,706.888,83309958.6914,,,,,,,,,,,,,,,,,,,,,-619.1179999999999,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,中性,,False,中轨附近,中性,中性
2025-07-17 03:45:00,117868.8,118121.9,117868.7,118090.9,768.061,90638186.6656,18137.0,405.063,47800584.5814,,,,,,,,,,,,,,,,,,,,,148.9430000000001,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,中性,,False,中轨附近,中性,中性
2025-07-17 04:00:00,118090.8,118268.6,117923.0,118239.4,872.716,103079718.9947,21936.0,510.607,60320041.697,,,,,,,,,,,,,,,,,,,,,1021.6590000000001,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,中性,,False,中轨附近,中性,中性
2025-07-17 04:15:00,118239.4,118288.8,118156.7,118239.5,491.124,58065584.9538,14524.0,208.625,24664479.8568,118108.7375,,,118108.7375,,,,,,46.17098627887867,,,,,,,,,,,1512.7830000000001,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,看跌区域,,False,中轨附近,中性,中性
2025-07-17 04:30:00,118239.6,118422.7,118239.5,118334.5,841.51,99606768.5458,20786.0,536.607,63512978.2832,118112.45,,,118112.45,,,,,,52.36283124610793,,,,,,,,,,,2354.293,266.4499999999989,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,看涨区域,,False,中轨附近,中性,中性
2025-07-17 04:45:00,118334.5,118466.0,118291.8,118465.9,652.131,77199566.2887,12946.0,366.123,43343488.8636,118132.9375,,,118132.9375,,,,,,59.820842390907515,,,,,,,,,,,3006.424,254.91874999999868,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,看涨区域,,False,中轨附近,中性,中性
2025-07-17 05:00:00,118465.9,118466.0,118222.0,118263.8,534.866,63293553.8051,13615.0,185.283,21922729.1115,118168.57500000001,,,118168.57500000001,,,,,,46.70117956143972,,,,,,,,,87.12861473564645,86.31696441181937,2471.558,253.55390624999885,,,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 13:27:57,中性,中性,看跌区域,,False,中轨附近,超买交叉,中性
