open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA8,MA21,MA55,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,BB_Width,BB_Squeeze
2025-07-17 00:30:00,118834.7,119113.6,118792.3,119100.0,650.734,77414136.3047,19179.0,403.985,48060309.8007,,,,,,,,,,,,,,,,,,,,,650.734,,,,,,False
2025-07-17 00:45:00,119100.0,119151.3,118861.0,118861.2,1061.74,126366793.2923,23050.0,388.548,46242930.2088,,,,,,,,,,,,,,,,,,,,,-411.006,,,,,,False
2025-07-17 01:00:00,118861.2,119052.3,118852.1,119029.3,531.183,63175199.7702,18173.0,277.908,33052157.6436,,,,,,,,,,,,,,,,,,,,,120.17700000000002,,,,,,False
2025-07-17 01:15:00,119029.5,119029.5,118529.1,118650.8,1151.514,136664799.3446,27120.0,479.564,56911802.606,,,,,,,,,,,,,,,,,,,,,-1031.337,,,,,,False
2025-07-17 01:30:00,118650.8,118690.2,118000.2,118256.9,4040.715,477755181.5424,65704.0,1474.738,174340649.7937,,,,,,,,,,,,,,,,,,,,,-5072.052,,,,,,False
2025-07-17 01:45:00,118256.4,118259.4,117663.6,118115.0,5875.449,692570382.4084,88379.0,2733.107,322208459.1253,,,,,,,,,,,,,,,,,,,,,-10947.501,,,,,,False
2025-07-17 02:00:00,118115.0,118418.1,117980.2,118351.3,1751.278,207002959.152,44048.0,1111.259,131345708.6355,,,,,,,,,,,,,,,,,,,,,-9196.223,,,,,,False
2025-07-17 02:15:00,118351.3,118497.8,118290.3,118380.0,1127.69,133527937.1632,22350.0,594.869,70439916.2296,118593.0625,,,118593.0625,,,,,,27.30424914890951,,,,,,,,,,,-8068.532999999999,,,,,,False
2025-07-17 02:30:00,118379.9,118441.9,118194.2,118304.8,854.967,101166411.6265,19374.0,364.042,43075947.6047,118493.6625,,,118493.6625,,,,,,25.87319287904757,,,,,,,,,,,-8923.5,396.22499999999854,,,,,False
2025-07-17 02:45:00,118304.8,118345.4,118015.6,118302.0,971.783,114832732.0248,23010.0,512.741,60596039.7389,118423.7625,,,118423.7625,,,,,,25.81442015404295,,,,,,,,,,,-9895.283,387.92187499999727,,,,,False
2025-07-17 03:00:00,118302.0,118335.2,117978.7,117978.7,714.072,84331617.9466,21471.0,281.803,33281258.4818,118292.4375,,,118292.4375,,,,,,19.766030890075363,,,,,,,,,41.201548415367775,45.02487509608736,-10609.355,383.9941406249976,,,,,False
2025-07-17 03:15:00,117978.7,118033.2,117816.0,117845.8,1496.219,176418772.3408,35388.0,638.452,75285732.3197,118191.8125,,,118191.8125,,,,,,17.769323937490274,,,119120.19958698374,118431.31666666668,117742.4337463496,,,,33.091083608409065,40.43820663572981,-12105.574,363.1448730468725,,,,0.0116334587794203,False
2025-07-17 03:30:00,117845.7,118014.0,117700.0,117868.8,1707.989,201262776.6833,33087.0,706.888,83309958.6914,118143.3,,,118143.3,,,,,,19.41297501372297,,,118965.23895810772,118328.71666666667,117692.19437522562,,,,24.56434053387586,32.95232418588423,-10397.585,357.0017639160135,,,,0.010758542970328,False
2025-07-17 03:45:00,117868.8,118121.9,117868.7,118090.9,768.061,90638186.6656,18137.0,405.063,47800584.5814,118140.2875,,,118140.2875,,,,,,34.224713293624035,,,118839.43796077804,118264.525,117689.612039222,,,,30.665570829650985,29.44033165731197,-9629.524,344.02654342651147,,,,0.0097224921975211,False
2025-07-17 04:00:00,118090.8,118268.6,117923.0,118239.4,872.716,103079718.9947,21936.0,510.607,60320041.697,118126.3,,,118126.3,,,,,,42.47256097194735,32.883850437549604,,118597.12043472962,118198.7,117800.27956527038,,,,47.62021458728419,34.283375316937004,-8756.808,344.22322549819825,,,,0.0067415366620718,False
2025-07-17 04:15:00,118239.4,118288.8,118156.7,118239.5,491.124,58065584.9538,14524.0,208.625,24664479.8568,118108.7375,,,118108.7375,,,,,,42.47822767528044,32.88672537128946,,118480.96177809592,118164.425,117847.88822190404,,,,68.43134329058834,48.9057095691745,-8265.684000000001,317.7078223109242,,,61.87295638590103,0.0053575647339871,False
2025-07-17 04:30:00,118239.6,118422.7,118239.5,118334.5,841.51,99606768.5458,20786.0,536.607,63512978.2832,118112.45,,,118112.45,,,-98.8515481006034,-211.8127823552612,112.96123425465775,48.14006984088188,35.704396936939986,,118495.79317463942,118170.89166666666,117845.99015869392,,,,81.3641844443594,65.80524744074397,-7424.174000000001,300.8943445220583,,,56.66158420280832,0.0054988416079524,False
