open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,Stoch_SlowK,Stoch_SlowD,ATR,ATR_Long,ADX,OBV
2025-07-17 20:30:00,119003.7,119390.0,118999.7,119221.4,1263,150585300,119306.95,119080.93,118587.73,-15.8523,52.6788,-68.5311,52.2,53.94,119938.85,119356.45,118774.06,119800.67,42.4637,32.9053,415.54,381.48,31.0503,-14535
2025-07-17 20:45:00,119221.5,119440.8,119076.9,119428.8,1291,153890910,119287.73,119097.19,118613.0,40.6473,48.6683,-8.021,58.36,56.01,119951.56,119370.91,118790.25,119810.34,57.1864,42.5503,409.08,380.64,28.1845,-13244
2025-07-17 21:00:00,119428.8,120145.9,119410.5,120094.9,7681,920671170,119324.77,119155.27,118652.77,197.8734,98.4033,99.47,71.93,61.81,120118.46,119444.97,118771.48,119865.31,75.2442,58.2981,449.87,397.53,27.9721,-5563
2025-07-17 21:15:00,120095.0,120951.5,120094.9,120900.1,9397,1132973400,119481.02,119262.1,118695.84,431.6657,209.4908,222.1749,80.77,67.28,120534.12,119546.02,118557.93,120115.38,88.8612,73.764,500.71,419.39,30.495,3833
2025-07-17 21:30:00,120900.0,120930.8,120033.4,120615.2,6635,799413200,119621.75,119360.43,118738.06,490.4392,303.1403,187.2989,71.48,63.88,120747.34,119624.55,118501.76,120277.51,94.1023,86.0692,550.3,442.16,32.2382,-2801
2025-07-17 21:45:00,120615.2,120752.1,120177.0,120254.8,1405,169276060,119785.0,119446.48,118776.95,432.0222,346.1009,85.9213,61.11,59.86,120845.59,119680.58,118515.56,120372.91,85.2261,89.3966,553.4,448.49,33.7634,-4206
2025-07-17 22:00:00,120254.8,120450.0,120112.5,120432.4,1729,207934600,119993.9,119536.1,118816.88,411.8971,368.033,43.8641,64.1,61.13,120956.93,119733.38,118509.84,120478.84,77.0177,85.4487,526.41,443.2,34.4986,-2477
2025-07-17 22:15:00,120432.4,120706.1,120041.7,120077.6,2029,244176930,120128.15,119591.99,118847.77,313.2019,349.756,-36.554,54.35,57.33,121003.14,119769.02,118534.89,120537.44,65.7762,76.0067,543.66,453.73,36.1297,-4507
2025-07-17 22:30:00,120077.6,120272.5,120077.4,120162.0,941,113055060,120245.73,119661.88,118881.38,257.9665,319.1595,-61.1929,56.2,57.99,121063.41,119825.07,118586.73,120587.58,58.5177,67.1039,500.09,441.42,37.5569,-3566
2025-07-17 22:45:00,120162.1,120336.4,119451.3,119767.8,3250,389367100,120288.1,119714.81,118903.7,139.0336,259.1175,-120.0839,46.03,53.95,121038.72,119893.32,118747.91,120600.65,41.0821,55.1253,548.22,462.55,33.3678,-6816
2025-07-17 23:00:00,119767.8,119878.4,119569.8,119711.0,1407,168466960,120240.11,119736.51,118914.2,53.6322,190.6224,-136.9902,44.67,53.39,120949.49,119972.47,118995.44,120619.98,29.1391,42.913,518.26,455.22,29.7024,-8223
2025-07-17 23:15:00,119711.1,119883.3,119428.4,119608.0,1999,239022700,120078.6,119755.64,118925.64,-17.3415,121.3011,-138.6426,42.05,52.35,120876.52,120022.84,119169.16,120630.57,17.4061,29.2091,510.34,455.2,26.5247,-10221
2025-07-17 23:30:00,119608.0,119665.6,119250.0,119360.1,1085,129573030,119921.71,119740.06,118936.58,-104.2912,46.1037,-150.3949,36.09,49.89,120855.06,120034.39,119213.72,120623.58,12.8942,19.8132,498.5,453.31,24.9818,-11306
2025-07-17 23:45:00,119360.1,119470.5,119155.0,119176.6,1417,168986030,119786.94,119716.42,118946.78,-183.9629,-30.5852,-153.3777,32.16,48.14,120891.85,120013.38,119134.9,120606.46,7.5073,12.6025,475.63,446.75,24.267,-12722
2025-07-18 00:00:00,119176.5,119370.0,119003.8,119037.6,1207,143806640,119612.59,119690.48,118955.64,-247.2056,-102.792,-144.4136,29.34,46.83,120926.2,119925.27,118924.34,120580.63,3.8301,8.0772,461.95,442.92,24.6231,-13929
2025-07-18 00:15:00,119037.6,119592.1,119037.5,119482.0,1339,159849040,119538.14,119675.4,118977.54,-186.925,-130.8363,-56.0887,46.78,51.28,120674.89,119807.09,118939.29,120560.66,13.2712,8.2029,473.53,448.23,22.7046,-12590
