open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,BB_Upper,BB_Middle,BB_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ADX,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Signal,Stoch_Signal,综合信号
2025-06-14 12:00:00,105030.5,105084.2,104570.0,104783.4,11378.285,1192916497.1828,233840.0,5320.95,557912447.7655,,,,,,,,,,,,11378.285,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-14 16:00:00,104783.4,105011.0,104290.0,104582.3,18623.517,1948121219.0242,375597.0,9265.537,969274987.9994,,,,,,,,,,,,-7245.232,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-14 20:00:00,104584.2,105438.0,104225.4,105359.9,15565.636,1633921116.2655,315152.0,7756.088,814224874.4366,,,,,,,,,,,,8320.404,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-15 00:00:00,105359.8,105631.6,105208.7,105425.6,7896.238,832707838.6256,161623.0,3758.664,396403248.9003,,,,,,,,,,,,16216.642,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-15 04:00:00,105425.6,106099.4,105137.0,105374.1,16601.294,1753451803.6198,262910.0,7981.367,843210223.677,,,,,,,,,,,,-384.65200000000186,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-15 08:00:00,105374.2,105444.9,104812.2,104924.5,10938.222,1148842293.5175,234141.0,5442.495,571640053.2975,,,,,,,,,,,,-11322.874000000002,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-15 12:00:00,104924.6,105810.6,104900.0,105526.0,16414.581,1730202286.8464,332847.0,9134.067,962705211.9487,,,,,,,,,,,,5091.706999999997,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-15 16:00:00,105525.9,105744.0,104999.9,105252.0,10211.904,1076225880.6029,233577.0,4771.557,502981403.0522,,,,,,,,,,,,-5120.197000000004,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-15 20:00:00,105251.9,105571.4,104399.9,105534.6,16757.16,1758322544.6554,390624.0,8392.234,880779264.0858,,,,,,,,,,,,11636.962999999996,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-16 00:00:00,105534.7,105927.0,104920.0,105865.6,17792.791,1878350168.0046,412295.0,9032.744,953694721.0384,,,,,,,,,,,,29429.753999999997,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-16 04:00:00,105865.6,107250.0,105817.3,107023.8,30100.727,3208709896.2528,495472.0,17373.271,1852043668.5934,,,,,,,,,,,,59530.481,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-16 08:00:00,107023.8,107199.9,106540.0,106842.5,16343.835,1747263456.1127,323381.0,7524.944,804491530.9122,,,,,,,,,,,,43186.646,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-16 12:00:00,106842.6,107759.8,106446.6,107374.9,32297.364,3461664482.5879,664591.0,16089.175,1724480495.0239,,,,,,,,,,,,75484.01000000001,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
2025-06-16 16:00:00,107375.0,108882.0,107258.0,108594.2,31766.821,3436495329.6117,562999.0,16330.191,1766903177.3935,,,,,,,,,,,,107250.831,,,2025-07-18 00:07:17,中性,中性,中性,中轨附近,中性,中性
