open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,MACD_Long_Signal,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,MA144
2025-05-31 04:00:00,103640.2,103863.6,103433.1,103700.6,11064,1146964100,238680,5443,564383360,,,,,,,,,,,,,,,,,,,11064,,,,,
2025-05-31 08:00:00,103700.5,103770.2,103249.9,103460.9,10548,1091481300,248964,5275,545868300,,,,,,,,,,,,,,,,,,,516,,,,,
2025-05-31 12:00:00,103460.9,104800.0,103444.4,104497.1,29628,3088243200,483855,15274,1592085400,,,,,,,,,,,,,,,,,,,30144,,,,,
2025-05-31 16:00:00,104497.1,104743.8,104215.0,104653.9,11091,1159020900,251612,4768,498273470,,,,,,,,,,,,,,,,,,,41235,,,,,
2025-05-31 20:00:00,104653.9,104859.3,104423.0,104544.7,8322,871059140,197493,3753,392842850,,,,,,,,,,,,,,,,,,,32913,,,,,
2025-06-01 00:00:00,104544.6,104599.6,103860.9,104336.4,14341,1494574500,304254,7394,770555600,,,,,,,,,,,,,,,,,,,18572,,,,,
2025-06-01 04:00:00,104336.4,104700.0,104138.0,104231.0,9470,988693100,202506,4674,488004030,,,,,,,,,,,,,,,,,,,9102,,,,,
2025-06-01 08:00:00,104230.9,104410.5,103704.1,104038.0,15556,1617475000,318122,7831,814338200,,,,,,,,,,,,,,,,,,,-6453,,,,,
2025-06-01 12:00:00,104038.0,104760.0,103708.6,104664.0,16897,1763524900,345663,8307,866953660,,,,,,,,,,,,,,,,,,,10444,,,,,
2025-06-01 16:00:00,104663.9,105285.0,104280.1,105075.2,24033,2521074000,445618,12155,1275119500,,,,,,,,,,,,,,,,,,,34477,,,,,
2025-06-01 20:00:00,105075.2,105823.6,104833.1,105583.3,17124,1804393200,343786,8420,887338100,,,,,,,,,,,,,,,,,,,51601,,,,,
2025-06-02 00:00:00,105583.3,105700.0,104520.0,104781.8,17614,1851799800,375517,8198,861902140,,,,,,,,,,,,,,,,,,,33986,,,,,
2025-06-02 04:00:00,104781.8,105398.5,104549.8,105346.4,15376,1614097000,303406,7702,808574900,,,,,,,,,,,,,,,,,,,49363,,,,,
2025-06-02 08:00:00,105346.4,105900.0,103867.8,104000.0,39492,4137952300,656632,18873,1977555800,,,,,,,,,,,,,,,,,,,9871,,,,,
2025-06-02 12:00:00,104000.1,104646.1,103600.6,104396.8,42551,4430377500,783618,21840,2274315500,,,,,,,,,55.19,,,,,,,,,,52422,928.66,,,,
2025-06-02 16:00:00,104396.9,104699.4,103982.9,104366.4,15856,1653474300,386081,7820,815556860,,,,,,,,,54.92,,,,,,,,,,36566,913.51,,,,
2025-06-02 20:00:00,104366.5,105893.8,104366.5,105814.3,27363,2881073200,489549,13807,1453596900,,,,,,,,,63.92,,,,,,,,,,63930,957.36,,,,
2025-06-03 00:00:00,105814.4,106470.8,105280.0,105448.8,29321,3106506000,547063,14331,1518296700,,,,,,,,,60.63,,,,,,,,66.0708,53.8265,34609,974.03,,,,
2025-06-03 04:00:00,105448.8,105475.4,105062.5,105134.4,12957,1363841900,249888,6639,698856500,,,,,,,,,57.87,,,,,,,,71.3682,65.4905,21652,933.95,,,,
2025-06-03 08:00:00,105134.4,105305.2,104822.4,105240.1,12289,1291619200,235405,6366,669099900,104665.7,,,,,,,,58.55,,105905.97,104665.7,103425.44,,,,58.3177,65.2522,33942,901.73,,,,
