open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA21,MA55,MA200,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,MACD_Long,MACD_Long_Signal,MACD_Long_Hist,RSI,RSI_Long,RSI_Extra_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.000,Fib_Ret_0.236,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.786,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Width,BB_Squeeze,BB_Signal,Stoch_Signal,综合信号
2024-11-23,98921.5,98937.3,97173.5,97725.5,120358.422,11819741402.0844,2258791.0,57833.796,5680407129.2168,,,,,,,,,,,,,,,,,,,,,,,,120358.422,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-11-24,97725.6,98666.0,95822.1,97960.4,173118.84,16831814834.729,3273568.0,84519.177,8217593372.2568,,,,,,,,,,,,,,,,,,,,,,,,293477.262,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-11-25,97960.5,98999.0,92666.0,93064.0,329375.021,31634790118.7792,5330405.0,156656.185,15053596210.3709,,,,,,,,,,,,,,,,,,,,,,,,-35897.75900000002,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-11-26,93064.0,95064.0,90866.4,92021.4,344929.233,32058954666.3463,6021621.0,169186.591,15726674891.569,,,,,,,,,,,,,,,,,,,,,,,,-380826.992,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-11-27,92021.5,97250.0,91864.0,95905.2,237005.987,22446169054.8116,4071168.0,119608.298,11331448003.0743,,,,,,,,,,,,,,,,,,,,,,,,-143821.00500000003,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-11-28,95905.2,96627.6,94700.1,95694.4,154007.026,14702795800.1606,2817181.0,77818.663,7429887575.1181,,,,,,,,,,,,,,,,,,,,,,,,-297828.0310000001,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-11-29,95694.4,98713.3,95404.5,97516.3,190520.949,18512741566.7861,3084809.0,96983.959,9425322800.4492,,,,,,,,,,,,,,,,,,,,,,,,-107307.08200000008,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-11-30,97516.2,97522.1,96150.0,96475.1,93074.218,9004708395.7383,1665673.0,45055.735,4359094830.7142,,,,,,,,,,,,,,,,,,,,,,,,-200381.30000000008,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-01,96475.2,97933.0,95736.5,97265.1,113222.99,10975143904.8559,1872343.0,56376.584,5466023875.9469,,,,,,,,,,,,,,,,,,,,,,,,-87158.31000000007,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
2024-12-02,97265.0,98266.0,94400.0,95890.5,257613.911,24755123881.9079,4234044.0,125164.847,12027481647.3162,,,,,,,,,,,,,,,,,,,,,,,,-344772.2210000001,,,,,,,,,,,,,,neutral,,,neutral,,,,2025-07-20 15:09:01,中性,中性,中性,,False,中轨附近,中性,中性
