open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.618,Fib_Ext_1.414,Fib_Ext_2.000,Fib_Ext_2.618,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA200,MA300,MACD_Long,MACD_Long_Signal
2024-09-24,63302.1,64666.0,62688.2,64243.1,236987.62,15055312000.0,2854709.0,118461.88,7527452700.0,,,,,,,,,,,,,,,,,236987.62,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-09-25,64243.2,64800.0,62910.0,63118.4,184950.77,11776675000.0,2269562.0,89579.445,5704913000.0,,,,,,,,,,,,,,,,,52036.855,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-09-26,63118.3,65800.0,62634.4,65139.2,321186.34,20718991000.0,3601296.0,164114.5,10590412000.0,,,,,,,,,,,,,,,,,373223.22,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-09-27,65139.1,66450.0,64788.0,65749.6,226404.02,14875897000.0,2828264.0,115294.9,7576779000.0,,,,,,,,,,,,,,,,,599627.25,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-09-28,65749.5,66237.0,65368.1,65822.6,92773.555,6095990000.0,1280637.0,45357.402,2980985300.0,,,,,,,,,,,,,,,,,692400.8,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-09-29,65822.7,66059.3,65400.0,65568.1,88131.8,5789647000.0,1294673.0,44105.125,2897677800.0,,,,,,,,,,,,,,,,,604269.0,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-09-30,65568.2,65588.8,62825.0,63309.1,296848.38,18997630000.0,3646635.0,142277.86,9104886000.0,,,,,,,,,,,,,,,,,307420.62,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-10-01,63309.0,64092.6,60128.2,60776.8,429817.84,26755502000.0,5090159.0,202041.67,12580934000.0,,,,,,,,,,,,,,,,,-122397.22,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-10-02,60776.7,62355.0,59934.9,60622.6,327001.8,19999406000.0,4403020.0,165312.97,10112397000.0,,,,,,,,,,,,,,,,,-449399.03,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-10-03,60622.7,61452.6,59815.0,60727.2,286137.22,17336093000.0,4070646.0,142442.83,8631125000.0,,,,,,,,,,,,,,,,,-163261.81,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
2024-10-04,60727.1,62457.1,60434.1,62054.4,234795.84,14447839000.0,3191780.0,117924.25,7256208000.0,,,,,,,,,,,,,,,,,71534.02,,,,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,
